epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.733,1.63546,3.70331,1.75091,0.00573,0.62837,0.03428,0.01189,1.99198,4.25661,2.35072,0.00032867,0.00032867,0.00032867
2,252.604,1.65865,3.42515,1.76131,0.00405,0.5564,0.01237,0.0034,2.90869,4.90982,3.29243,0.000649466,0.000649466,0.000649466
3,380.888,1.83475,3.26018,1.86116,0.01891,0.11574,0.04152,0.02167,2.51431,4.79552,3.04464,0.000947627,0.000947627,0.000947627
4,492.344,1.81719,3.12131,1.8828,0.42016,0.14141,0.1052,0.03329,2.68501,5.84885,3.25419,0.00122315,0.00122315,0.00122315
5,602.601,1.81683,3.03882,1.83722,0.45704,0.0303,0.03482,0.01519,2.74938,6.99573,3.6072,0.00124037,0.00124037,0.00124037
6,724.703,1.83104,3.08583,1.90445,0.17579,0.16961,0.06357,0.02875,3.14833,9.58545,3.85394,0.00119322,0.00119322,0.00119322
7,846.224,1.71821,2.8858,1.83774,0.08463,0.28746,0.05607,0.02443,2.49763,7.06049,3.09302,0.00114606,0.00114606,0.00114606
8,956.857,1.68177,2.7416,1.79535,0.16375,0.06734,0.04405,0.01299,2.63816,5.5998,2.98197,0.0010989,0.0010989,0.0010989
9,1066.87,1.67302,2.72597,1.8125,0.08288,0.32786,0.07115,0.02357,2.13202,4.73933,2.59766,0.00105174,0.00105174,0.00105174
10,1177.58,1.64853,2.65358,1.78039,0.10724,0.37079,0.05298,0.02368,2.21686,5.01669,2.73626,0.00100459,0.00100459,0.00100459
11,1287.86,1.59814,2.43803,1.70326,0.47582,0.35859,0.19888,0.07411,2.37623,4.53832,2.80123,0.00095743,0.00095743,0.00095743
12,1400.04,1.55362,2.42414,1.67915,0.22246,0.22322,0.1502,0.09681,2.22884,3.93077,2.67171,0.000910273,0.000910273,0.000910273
13,1514.88,1.51692,2.39794,1.65374,0.56917,0.29858,0.3152,0.15588,2.12989,3.11902,2.48746,0.000863116,0.000863116,0.000863116
14,1624.29,1.48161,2.29562,1.62821,0.48857,0.29756,0.24154,0.11681,2.41654,3.72495,2.90028,0.000815959,0.000815959,0.000815959
15,1734.15,1.45415,2.18842,1.6037,0.66096,0.2841,0.29787,0.12898,2.15625,3.6233,2.67746,0.000768802,0.000768802,0.000768802
16,1846.57,1.41076,2.07995,1.57302,0.49065,0.33838,0.23453,0.11543,1.94004,3.58981,2.41782,0.000721645,0.000721645,0.000721645
17,1955.8,1.38322,2.05304,1.55776,0.45207,0.37542,0.34705,0.18698,1.98242,2.99087,2.45677,0.000674488,0.000674488,0.000674488
18,2065.71,1.39065,1.95393,1.53604,0.53862,0.18981,0.20046,0.09167,2.18822,3.52812,2.52336,0.000627331,0.000627331,0.000627331
19,2176.16,1.31153,1.88208,1.4808,0.31521,0.25042,0.21338,0.10584,2.17867,3.38818,2.57858,0.000580174,0.000580174,0.000580174
20,2288.32,1.27473,1.82639,1.44867,0.35847,0.20671,0.20397,0.09746,2.13408,3.91931,2.48354,0.000533017,0.000533017,0.000533017
21,2396.72,1.31751,2.04201,1.56192,0.3737,0.2883,0.21965,0.10829,2.06113,3.4282,2.34995,0.00048586,0.00048586,0.00048586
22,2505.28,1.25244,1.87699,1.53117,0.48541,0.34891,0.28807,0.16163,2.01131,3.15979,2.36363,0.000438703,0.000438703,0.000438703
23,2614.28,1.11846,1.68568,1.40833,0.48891,0.2201,0.22551,0.1253,2.13049,3.16729,2.44972,0.000391546,0.000391546,0.000391546
24,2736.72,1.13244,1.69338,1.41732,0.49998,0.30345,0.2801,0.13649,2.08197,2.94578,2.42358,0.000344389,0.000344389,0.000344389
25,2844.75,1.09962,1.62104,1.4168,0.59588,0.30283,0.32116,0.16525,1.9424,2.98886,2.32466,0.000297232,0.000297232,0.000297232
26,2953.66,1.04828,1.47219,1.35615,0.52539,0.3186,0.33478,0.19237,1.91978,2.83795,2.28391,0.000250075,0.000250075,0.000250075
27,3075.02,1.02707,1.44715,1.36499,0.84181,0.29531,0.37625,0.22133,2.00625,2.70784,2.37749,0.000202918,0.000202918,0.000202918
28,3183.49,0.96406,1.33053,1.29483,0.83586,0.27,0.35976,0.20296,2.10848,2.823,2.38114,0.000155761,0.000155761,0.000155761
29,3292.27,0.96809,1.32621,1.29795,0.54277,0.26641,0.32353,0.1809,2.19061,2.97518,2.50871,0.000108604,0.000108604,0.000108604
30,3400.5,0.9452,1.32581,1.29552,0.3783,0.42298,0.34321,0.18958,2.18525,3.04512,2.52411,6.1447e-05,6.1447e-05,6.1447e-05
